,fecha,valordemanda,Año,Mes,Dia,DiaSemana
354,2011-12-21,812666.84,2011,12,21,3
355,2011-12-22,789645.97,2011,12,22,4
356,2011-12-23,765045.26,2011,12,23,5
357,2011-12-24,664125.44,2011,12,24,6
358,2011-12-25,585068.32,2011,12,25,7
359,2011-12-26,671321.86,2011,12,26,1
360,2011-12-27,751545.99,2011,12,27,2
361,2011-12-28,756819.61,2011,12,28,3
362,2011-12-29,755696.43,2011,12,29,4
363,2011-12-30,744812.94,2011,12,30,5
364,2011-12-31,671699.68,2011,12,31,6
365,2012-01-01,592816.87,2012,1,1,7
366,2012-01-02,726091.79,2012,1,2,1
367,2012-01-03,779284.5,2012,1,3,2
368,2012-01-04,790304.77,2012,1,4,3
369,2012-01-05,761679.04,2012,1,5,4
370,2012-01-06,637431.65,2012,1,6,5
371,2012-01-07,682415.08,2012,1,7,6
372,2012-01-08,666702.92,2012,1,8,7
373,2012-01-09,810158.51,2012,1,9,1
374,2012-01-10,841234.03,2012,1,10,2
375,2012-01-11,851423.54,2012,1,11,3
376,2012-01-12,855602.0,2012,1,12,4
377,2012-01-13,848983.87,2012,1,13,5
378,2012-01-14,762151.99,2012,1,14,6
379,2012-01-15,713670.8,2012,1,15,7
380,2012-01-16,861532.54,2012,1,16,1
381,2012-01-17,858731.26,2012,1,17,2
382,2012-01-18,852484.63,2012,1,18,3
383,2012-01-19,847962.24,2012,1,19,4
384,2012-01-20,831690.12,2012,1,20,5
385,2012-01-21,739371.04,2012,1,21,6
386,2012-01-22,683581.14,2012,1,22,7
387,2012-01-23,815497.79,2012,1,23,1
388,2012-01-24,828689.5,2012,1,24,2
389,2012-01-25,834103.42,2012,1,25,3
390,2012-01-26,841521.01,2012,1,26,4
391,2012-01-27,843149.22,2012,1,27,5
392,2012-01-28,753368.58,2012,1,28,6
393,2012-01-29,700995.31,2012,1,29,7
394,2012-01-30,838323.28,2012,1,30,1
395,2012-01-31,863659.9,2012,1,31,2
396,2012-02-01,868496.6,2012,2,1,3
397,2012-02-02,898222.27,2012,2,2,4
398,2012-02-03,911010.97,2012,2,3,5
399,2012-02-04,834218.33,2012,2,4,6
400,2012-02-05,776743.4,2012,2,5,7
401,2012-02-06,881139.67,2012,2,6,1
402,2012-02-07,889630.97,2012,2,7,2
403,2012-02-08,912581.92,2012,2,8,3
404,2012-02-09,916018.22,2012,2,9,4
405,2012-02-10,899382.9,2012,2,10,5
406,2012-02-11,813980.15,2012,2,11,6
407,2012-02-12,762912.62,2012,2,12,7
408,2012-02-13,908384.84,2012,2,13,1
409,2012-02-14,914675.73,2012,2,14,2
410,2012-02-15,893494.59,2012,2,15,3
411,2012-02-16,881969.93,2012,2,16,4
412,2012-02-17,864999.08,2012,2,17,5
413,2012-02-18,767476.35,2012,2,18,6
414,2012-02-19,703878.22,2012,2,19,7
415,2012-02-20,834040.13,2012,2,20,1
416,2012-02-21,843898.54,2012,2,21,2
417,2012-02-22,847478.5,2012,2,22,3
418,2012-02-23,834393.97,2012,2,23,4
419,2012-02-24,813897.96,2012,2,24,5
420,2012-02-25,726743.47,2012,2,25,6
421,2012-02-26,657693.79,2012,2,26,7
422,2012-02-27,770872.85,2012,2,27,1
423,2012-02-28,772205.64,2012,2,28,2
424,2012-02-29,776701.97,2012,2,29,3
425,2012-03-01,780691.43,2012,3,1,4
426,2012-03-02,787919.1,2012,3,2,5
427,2012-03-03,696602.67,2012,3,3,6
428,2012-03-04,642961.49,2012,3,4,7
429,2012-03-05,764697.29,2012,3,5,1
430,2012-03-06,791497.57,2012,3,6,2
431,2012-03-07,796542.79,2012,3,7,3
432,2012-03-08,797150.73,2012,3,8,4
433,2012-03-09,785662.44,2012,3,9,5
434,2012-03-10,699505.18,2012,3,10,6
435,2012-03-11,639868.59,2012,3,11,7
436,2012-03-12,751047.75,2012,3,12,1
437,2012-03-13,762608.46,2012,3,13,2
438,2012-03-14,756252.13,2012,3,14,3
439,2012-03-15,754769.12,2012,3,15,4
440,2012-03-16,750861.81,2012,3,16,5
441,2012-03-17,676632.11,2012,3,17,6
442,2012-03-18,623485.24,2012,3,18,7
443,2012-03-19,698286.22,2012,3,19,1
444,2012-03-20,791965.01,2012,3,20,2
445,2012-03-21,808374.95,2012,3,21,3
446,2012-03-22,788088.28,2012,3,22,4
447,2012-03-23,770609.9,2012,3,23,5
448,2012-03-24,678814.29,2012,3,24,6
449,2012-03-25,586084.59,2012,3,25,7
450,2012-03-26,730795.49,2012,3,26,1
451,2012-03-27,743129.24,2012,3,27,2
452,2012-03-28,727958.26,2012,3,28,3
453,2012-03-29,630889.28,2012,3,29,4
454,2012-03-30,699453.55,2012,3,30,5
455,2012-03-31,643882.17,2012,3,31,6
456,2012-04-01,586704.8,2012,4,1,7
457,2012-04-02,697902.34,2012,4,2,1
458,2012-04-03,717866.16,2012,4,3,2
459,2012-04-04,715673.91,2012,4,4,3
460,2012-04-05,630786.72,2012,4,5,4
461,2012-04-06,585879.3,2012,4,6,5
462,2012-04-07,616796.27,2012,4,7,6
463,2012-04-08,575752.73,2012,4,8,7
464,2012-04-09,629262.28,2012,4,9,1
465,2012-04-10,717855.14,2012,4,10,2
466,2012-04-11,732914.28,2012,4,11,3
467,2012-04-12,736462.61,2012,4,12,4
468,2012-04-13,737193.29,2012,4,13,5
469,2012-04-14,670207.52,2012,4,14,6
470,2012-04-15,617976.13,2012,4,15,7
471,2012-04-16,735264.22,2012,4,16,1
472,2012-04-17,754376.45,2012,4,17,2
473,2012-04-18,762962.61,2012,4,18,3
474,2012-04-19,762996.07,2012,4,19,4
475,2012-04-20,750706.66,2012,4,20,5
476,2012-04-21,661256.24,2012,4,21,6
477,2012-04-22,597559.17,2012,4,22,7
478,2012-04-23,707171.92,2012,4,23,1
479,2012-04-24,733168.16,2012,4,24,2
480,2012-04-25,736064.93,2012,4,25,3
481,2012-04-26,738772.92,2012,4,26,4
482,2012-04-27,732354.54,2012,4,27,5
483,2012-04-28,662337.46,2012,4,28,6
484,2012-04-29,602824.33,2012,4,29,7
485,2012-04-30,667905.87,2012,4,30,1
486,2012-05-01,579857.78,2012,5,1,2
487,2012-05-02,686916.3,2012,5,2,3
488,2012-05-03,726119.92,2012,5,3,4
489,2012-05-04,726479.15,2012,5,4,5
490,2012-05-05,647696.16,2012,5,5,6
491,2012-05-06,581592.6,2012,5,6,7
492,2012-05-07,702252.63,2012,5,7,1
493,2012-05-08,727053.3,2012,5,8,2
494,2012-05-09,719922.03,2012,5,9,3
495,2012-05-10,721758.12,2012,5,10,4
496,2012-05-11,724845.63,2012,5,11,5
497,2012-05-12,652661.78,2012,5,12,6
498,2012-05-13,599719.86,2012,5,13,7
499,2012-05-14,716836.51,2012,5,14,1
500,2012-05-15,723690.09,2012,5,15,2
501,2012-05-16,732453.48,2012,5,16,3
502,2012-05-17,733704.36,2012,5,17,4
503,2012-05-18,724883.78,2012,5,18,5
504,2012-05-19,639672.71,2012,5,19,6
505,2012-05-20,577922.56,2012,5,20,7
506,2012-05-21,695104.99,2012,5,21,1
507,2012-05-22,721055.03,2012,5,22,2
508,2012-05-23,718431.1,2012,5,23,3
509,2012-05-24,723241.92,2012,5,24,4
510,2012-05-25,722149.97,2012,5,25,5
